,Name,Country,lat,long,Max temp,Humidity,Cloudiness,Wind Speed,Date Rec
367,rikitea,pf,-79.5,-125.35,74.23,75.0,36.0,14.99,1602520592
368,thompson,ca,71.81,-95.04,39.2,80.0,75.0,12.75,1602520866
369,mount isa,au,-19.93,138.9,78.8,22.0,0.0,11.41,1602520885
370,marabba,sd,12.46,31.8,91.36,36.0,97.0,10.33,1602520885
371,kapaa,us,18.45,-169.44,75.2,88.0,75.0,5.82,1602520854
372,middelburg,za,-31.24,25.34,58.82,70.0,10.0,9.22,1602520860
373,vaini,to,-71.25,-174.81,71.6,78.0,75.0,10.29,1602520885
374,rikitea,pf,-23.19,-131.28,74.23,75.0,36.0,14.99,1602520592
375,busselton,au,-49.47,93.19,55.0,84.0,58.0,10.16,1602520855
376,skjervoy,no,71.23,21.06,42.8,81.0,75.0,10.29,1602520885
377,dingle,ie,52.41,-15.84,76.91,85.0,100.0,3.29,1602520885
378,mar del plata,ar,-61.14,-32.31,64.4,68.0,20.0,8.05,1602520738
379,ikalamavony,mg,-21.22,46.32,79.9,51.0,51.0,4.27,1602520886
380,vilhena,br,-12.95,-58.54,95.59,28.0,36.0,4.14,1602520886
381,mahebourg,mu,-41.32,79.76,71.6,94.0,75.0,8.05,1602520581
382,broome,au,-21.62,123.93,53.01,70.0,90.0,17.22,1602520648
383,xichang,cn,27.99,102.71,63.77,73.0,99.0,0.49,1602520886
384,loukhi,ru,65.73,33.4,44.29,98.0,100.0,3.15,1602520886
385,poum,nc,-20.9,160.71,76.23,81.0,22.0,13.18,1602520661
386,sao filipe,cv,9.37,-26.06,78.51,76.0,20.0,7.63,1602520883
387,thompson,ca,54.88,-98.05,39.2,80.0,75.0,12.75,1602520866
388,bemidji,us,47.25,-94.69,53.01,53.0,1.0,21.92,1602520886
390,vila velha,br,-29.74,-22.12,75.0,88.0,90.0,8.05,1602520886
391,barrow,us,72.09,-161.79,21.2,85.0,90.0,5.82,1602520857
393,hermanus,za,-68.88,8.81,60.01,84.0,91.0,5.01,1602520865
394,yafran,ly,31.69,12.61,57.04,87.0,72.0,14.94,1602520887
396,vaini,to,-41.07,-173.79,71.6,78.0,75.0,10.29,1602520885
397,busselton,au,-42.01,109.78,55.0,84.0,58.0,10.16,1602520855
398,cidreira,br,-39.92,-41.19,74.32,58.0,0.0,4.54,1602520860
399,bathsheba,bb,16.86,-53.64,87.8,70.0,20.0,17.22,1602520887
400,rikitea,pf,-18.4,-126.76,74.23,75.0,36.0,14.99,1602520592
401,clyde river,ca,69.94,-84.9,32.0,98.0,90.0,8.05,1602520783
402,batticaloa,lk,8.12,82.43,80.94,66.0,38.0,10.51,1602520857
403,punta arenas,cl,-62.99,-114.54,46.4,75.0,90.0,8.05,1602520855
404,kapaa,us,33.7,-169.27,75.2,88.0,75.0,5.82,1602520854
406,litovko,ru,49.8,134.32,36.18,82.0,0.0,5.37,1602520887
407,port alfred,za,-46.64,33.36,62.71,75.0,16.0,18.37,1602520866
408,ust-shonosha,ru,62.14,41.79,44.56,92.0,100.0,5.39,1602520887
409,yellowknife,ca,83.11,-104.16,32.0,86.0,90.0,20.8,1602520858
410,atuona,pf,-6.07,-139.21,78.19,75.0,33.0,16.37,1602520740
411,san cristobal,ec,2.66,-85.96,89.6,46.0,40.0,23.04,1602520867
412,vaini,to,-31.5,-177.41,71.6,78.0,75.0,10.29,1602520885
413,raga,sd,7.78,25.53,76.86,80.0,40.0,0.45,1602520666
414,busselton,au,-37.75,87.23,55.0,84.0,58.0,10.16,1602520855
415,yatou,cn,34.43,123.01,53.74,50.0,42.0,7.2,1602520888
416,bitung,id,3.15,126.28,77.0,94.0,20.0,12.24,1602520888
417,auki,sb,-8.27,161.4,78.55,85.0,99.0,4.27,1602520888
418,lebu,cl,-30.91,-91.96,54.48,71.0,0.0,20.38,1602520876
419,port-de-bouc,fr,41.91,4.72,60.8,44.0,2.0,28.86,1602520888
420,aksu,cn,37.69,81.74,54.3,39.0,33.0,2.95,1602520745
421,tynda,ru,54.86,124.32,23.23,91.0,100.0,10.18,1602520888
422,port alfred,za,-61.17,35.24,62.71,75.0,16.0,18.37,1602520866
423,klaksvik,fo,65.41,-4.25,46.4,81.0,91.0,10.29,1602520889
425,rikitea,pf,-55.97,-129.6,74.23,75.0,36.0,14.99,1602520592
426,georgetown,sh,-8.03,-8.95,77.0,94.0,40.0,3.36,1602520594
427,hobart,au,-76.25,145.27,52.0,76.0,75.0,19.46,1602520773
428,cape town,za,-52.11,3.64,69.8,26.0,75.0,12.75,1602520861
429,puerto ayora,ec,-11.88,-99.16,77.0,65.0,20.0,20.8,1602520858
430,lebu,cl,-32.5,-85.54,54.48,71.0,0.0,20.38,1602520876
431,carmarthen,gb,52.11,-4.66,55.4,82.0,88.0,12.75,1602520889
432,sao joao da barra,br,-27.75,-31.57,75.2,64.0,90.0,6.93,1602520889
433,albany,au,-59.64,111.6,55.99,53.0,94.0,9.64,1602520859
434,pontassieve,it,43.73,11.42,57.2,62.0,20.0,11.41,1602520889
435,genhe,cn,51.09,121.3,22.46,82.0,0.0,3.96,1602520889
436,taoudenni,ml,25.79,-5.17,103.53,10.0,34.0,3.65,1602520889
437,murgab,tm,37.16,62.29,57.2,28.0,0.0,4.7,1602520889
438,mazarron,es,37.39,-1.29,73.4,23.0,0.0,3.36,1602520889
440,saskylakh,ru,73.95,114.0,14.72,95.0,96.0,8.68,1602520863
441,stony plain,ca,53.62,-114.21,41.0,65.0,1.0,14.99,1602520598
442,pitimbu,br,-7.57,-31.29,86.0,58.0,40.0,13.87,1602520709
443,jalu,ly,24.16,20.05,81.28,27.0,7.0,5.79,1602520624
444,talaya,ru,58.66,154.78,32.47,84.0,100.0,5.93,1602520890
445,provideniya,ru,52.56,-174.86,31.48,91.0,97.0,9.86,1602520890
446,chicama,pe,-14.36,-90.86,62.6,88.0,90.0,10.29,1602520890
447,tomakomai,jp,42.18,141.69,66.2,100.0,75.0,12.75,1602520890
448,shingu,jp,30.08,138.32,64.15,82.0,15.0,5.95,1602520746
450,port alfred,za,-43.25,32.81,62.71,75.0,16.0,18.37,1602520866
451,kapaa,us,15.73,-176.86,75.2,88.0,75.0,5.82,1602520854
452,mataura,pf,-32.36,-154.52,37.76,95.0,31.0,0.96,1602520865
453,mahebourg,mu,-41.95,71.43,71.6,94.0,75.0,8.05,1602520581
454,yoichi,jp,44.25,140.28,61.0,89.0,96.0,3.0,1602520891
455,ushuaia,ar,-87.85,-48.41,48.2,81.0,75.0,17.22,1602520854
456,rikitea,pf,-59.03,-129.93,74.23,75.0,36.0,14.99,1602520592
457,yellowknife,ca,82.73,-115.71,32.0,86.0,90.0,20.8,1602520858
458,vaini,to,-22.21,-179.73,71.6,78.0,75.0,10.29,1602520885
459,henties bay,na,-20.58,9.86,57.0,85.0,1.0,3.0,1602520882
460,koshurnikovo,ru,53.86,93.45,28.96,100.0,99.0,2.33,1602520891
461,ortigueira,br,-23.82,-50.7,86.14,28.0,0.0,4.99,1602520891
462,busselton,au,-83.79,87.63,55.0,84.0,58.0,10.16,1602520855
463,kutum,sd,17.65,25.97,85.89,17.0,38.0,9.62,1602520891
465,ternate,id,1.81,128.98,81.54,77.0,96.0,7.67,1602520645
466,sao filipe,cv,5.84,-24.11,78.51,76.0,20.0,7.63,1602520883
467,mar del plata,ar,-60.52,-30.83,64.4,68.0,20.0,8.05,1602520738
468,lagoa,pt,40.4,-28.99,67.8,76.0,82.0,20.89,1602520891
469,jamestown,sh,-31.36,-20.77,62.01,87.0,90.0,14.99,1602520594
470,bambous virieux,mu,-38.94,81.61,73.99,94.0,75.0,8.05,1602520856
471,berlevag,no,77.16,30.83,41.0,93.0,75.0,18.34,1602520892
472,kahului,us,35.92,-146.53,75.99,73.0,20.0,3.36,1602520872
473,hualmay,pe,-12.04,-78.75,68.09,68.0,42.0,10.04,1602520892
474,tiksi,ru,85.08,130.32,9.03,94.0,22.0,6.67,1602520892
475,dolinsk,ru,47.7,143.81,55.4,93.0,75.0,8.95,1602520892
476,campo verde,br,-21.02,-54.03,86.0,48.0,20.0,5.82,1602520892
477,coahuayana,mx,2.26,-112.44,71.6,83.0,90.0,5.82,1602520892
478,tambura,sd,5.38,27.27,73.06,88.0,100.0,1.39,1602520893
479,faya,td,16.5,18.2,68.0,77.0,6.0,6.93,1602520893
480,kapaa,us,9.52,-178.15,75.2,88.0,75.0,5.82,1602520854
482,upernavik,gl,72.62,-55.91,33.66,92.0,40.0,9.06,1602520861
483,rikitea,pf,-33.8,-109.37,74.23,75.0,36.0,14.99,1602520592
485,ushuaia,ar,-86.58,-33.36,48.2,81.0,75.0,17.22,1602520854
486,panalingaan,ph,8.96,117.2,80.49,79.0,100.0,4.05,1602520893
487,lompoc,us,30.35,-127.24,69.8,63.0,1.0,5.82,1602520891
488,vaini,to,-35.63,-172.34,71.6,78.0,75.0,10.29,1602520885
489,labuhan,id,-7.35,104.71,81.52,74.0,92.0,5.37,1602520893
490,east london,za,-68.02,50.1,64.4,72.0,44.0,14.99,1602520616
491,bluff,nz,-89.86,166.5,44.83,78.0,34.0,6.64,1602520872
492,hithadhoo,mv,-8.56,72.72,82.31,72.0,100.0,11.5,1602520612
493,punta arenas,cl,-80.77,-121.29,46.4,75.0,90.0,8.05,1602520855
494,youghal,ie,50.49,-7.41,55.0,66.0,40.0,21.92,1602520894
496,punta arenas,cl,-81.77,-92.44,46.4,75.0,90.0,8.05,1602520855
497,cape town,za,-79.95,-14.57,69.8,26.0,75.0,12.75,1602520861
498,saint george,bm,32.6,-64.84,60.8,26.0,1.0,3.36,1602520854
499,porbandar,in,15.83,64.14,84.18,66.0,3.0,11.88,1602520680
500,lokachi,ua,51.06,24.64,57.99,98.0,94.0,8.99,1602520894
501,vaini,to,-50.33,-176.26,71.6,78.0,75.0,10.29,1602520885
502,hobart,au,-47.88,155.92,52.0,76.0,75.0,19.46,1602520773
503,hermanus,za,-55.31,7.28,60.01,84.0,91.0,5.01,1602520865
504,punta arenas,cl,-65.34,-83.04,46.4,75.0,90.0,8.05,1602520855
505,mataura,pf,-74.86,-145.15,37.76,95.0,31.0,0.96,1602520865
506,busselton,au,-43.36,93.81,55.0,84.0,58.0,10.16,1602520855
507,upernavik,gl,87.27,-53.16,33.66,92.0,40.0,9.06,1602520861
508,torbay,ca,45.24,-47.15,48.99,65.0,20.0,20.8,1602520879
509,guadalupe,mx,15.8,-92.14,87.01,57.0,75.0,6.93,1602520895
510,saskylakh,ru,79.28,110.61,14.72,95.0,96.0,8.68,1602520863
511,kapaa,us,35.57,-179.64,75.2,88.0,75.0,5.82,1602520854
512,lima,pe,-13.19,-79.65,66.2,77.0,90.0,6.93,1602520895
513,port alfred,za,-39.01,27.81,62.71,75.0,16.0,18.37,1602520866
514,novovarshavka,ru,53.98,74.4,49.57,85.0,100.0,12.17,1602520896
515,burkburnett,us,33.99,-98.74,71.01,32.0,1.0,17.22,1602520896
516,ushuaia,ar,-87.77,-20.66,48.2,81.0,75.0,17.22,1602520854
517,punta arenas,cl,-81.69,-123.01,46.4,75.0,90.0,8.05,1602520855
518,carnarvon,au,-28.8,86.64,68.0,94.0,90.0,16.11,1602520869
519,castro,cl,-43.28,-104.95,78.94,37.0,0.0,7.94,1602520738
520,punta arenas,cl,-72.35,-89.51,46.4,75.0,90.0,8.05,1602520855
521,codrington,ag,20.55,-57.04,54.99,91.0,63.0,9.53,1602520897
522,bereda,so,13.5,50.22,63.0,99.0,87.0,3.0,1602520897
524,busselton,au,-75.16,75.92,55.0,84.0,58.0,10.16,1602520855
525,saskylakh,ru,89.45,118.64,14.72,95.0,96.0,8.68,1602520863
526,taree,au,-32.33,152.43,62.6,82.0,64.0,5.82,1602520849
527,iqaluit,ca,63.39,-77.1,28.4,79.0,75.0,24.16,1602520624
528,chifeng,cn,43.91,118.09,44.2,55.0,0.0,11.52,1602520898
529,hobart,au,-64.71,141.18,52.0,76.0,75.0,19.46,1602520773
530,gondar,et,12.26,36.32,58.96,84.0,74.0,3.62,1602520899
531,ponta do sol,cv,15.7,-38.38,75.2,60.0,20.0,21.92,1602520869
532,roma,au,-25.98,143.98,55.99,58.0,90.0,17.22,1602520696
533,mataura,pf,-45.3,-144.57,37.76,95.0,31.0,0.96,1602520865
534,arraial do cabo,br,-36.26,-25.59,77.0,61.0,40.0,25.28,1602520854
535,puerto ayora,ec,-11.07,-112.93,77.0,65.0,20.0,20.8,1602520858
536,dikson,ru,76.3,84.14,32.74,87.0,100.0,16.89,1602520860
537,vaini,to,-88.88,-177.24,71.6,78.0,75.0,10.29,1602520885
538,san policarpo,ph,15.28,132.22,81.68,81.0,100.0,5.01,1602520608
539,verkhniye kigi,ru,55.64,58.64,42.78,64.0,100.0,6.55,1602520900
540,kanadey,ru,53.43,47.42,49.68,46.0,51.0,6.42,1602520900
541,vardo,no,79.61,36.27,42.8,87.0,75.0,16.11,1602520666
542,cockburn town,tc,25.78,-68.35,83.57,75.0,52.0,13.44,1602520649
543,albany,au,-73.55,104.31,55.99,53.0,94.0,9.64,1602520859
545,klaksvik,fo,76.17,-2.36,46.4,81.0,91.0,10.29,1602520889
546,mataura,pf,-59.03,-143.95,37.76,95.0,31.0,0.96,1602520865
547,taoudenni,ml,23.39,-6.95,103.53,10.0,34.0,3.65,1602520889
548,changli,cn,38.83,119.7,50.67,46.0,0.0,5.46,1602520900
549,ushuaia,ar,-62.28,-64.01,48.2,81.0,75.0,17.22,1602520854
550,lukovit,bg,43.24,24.03,69.8,64.0,40.0,4.7,1602520901
551,ushuaia,ar,-53.51,-56.51,48.2,81.0,75.0,17.22,1602520854
552,tuktoyaktuk,ca,82.66,-127.08,23.0,73.0,90.0,13.87,1602520878
553,maputo,mz,-26.56,33.23,69.01,72.0,40.0,3.36,1602520613
554,ixtapa,mx,2.3,-109.76,86.0,74.0,90.0,3.53,1602520901
556,mission bend,us,29.74,-95.64,86.0,78.0,20.0,9.17,1602520846
557,mandiana,gn,10.69,-8.23,81.84,74.0,15.0,5.39,1602520901
558,cape town,za,-57.79,-2.66,69.8,26.0,75.0,12.75,1602520861
559,yellowknife,ca,81.73,-110.49,32.0,86.0,90.0,20.8,1602520858
560,butaritari,ki,16.68,157.93,81.54,76.0,32.0,15.14,1602520857
561,castro,cl,-46.37,-92.58,78.94,37.0,0.0,7.94,1602520738
562,hohhot,cn,39.69,111.51,32.0,56.0,2.0,4.47,1602520901
563,saint-philippe,re,-62.61,72.64,75.2,78.0,12.0,3.36,1602520854
564,airai,pw,12.77,138.65,59.76,92.0,81.0,3.04,1602520862
565,cape town,za,-41.23,10.18,69.8,26.0,75.0,12.75,1602520861
566,port alfred,za,-70.62,41.61,62.71,75.0,16.0,18.37,1602520866
567,mataura,pf,-52.48,-160.31,37.76,95.0,31.0,0.96,1602520865
568,husavik,is,69.8,-13.29,46.4,65.0,28.0,12.75,1602520856
569,ordubad,az,38.9,45.89,64.4,42.0,0.0,4.7,1602520902
570,ushuaia,ar,-76.49,-54.38,48.2,81.0,75.0,17.22,1602520854
571,karratha,au,-15.94,115.26,76.33,51.0,0.0,11.1,1602520902
573,tobermory,gb,56.67,-6.41,55.0,86.0,20.0,1.01,1602520903
574,vaini,to,-55.92,-176.68,71.6,78.0,75.0,10.29,1602520885
575,tommot,ru,59.46,127.26,22.44,94.0,100.0,13.58,1602520903
577,fortuna,us,39.4,-134.44,62.01,82.0,1.0,6.93,1602520904
578,moerai,pf,-20.36,-151.98,76.12,85.0,15.0,14.92,1602520904
579,arraial do cabo,br,-38.46,-28.26,77.0,61.0,40.0,25.28,1602520854
580,santiago,ph,7.01,128.78,81.0,22.0,13.0,2.24,1602520772
581,daura,ng,11.2,11.28,88.16,25.0,0.0,3.49,1602520904
582,rikitea,pf,-18.95,-135.81,74.23,75.0,36.0,14.99,1602520592
585,hobart,au,-58.76,143.82,52.0,76.0,75.0,19.46,1602520773
586,provideniya,ru,48.07,-176.59,31.48,91.0,97.0,9.86,1602520890
587,tasiilaq,gl,77.59,-41.53,35.6,86.0,100.0,2.24,1602520859
588,hovd,mn,45.83,101.51,34.32,80.0,95.0,0.81,1602520858
589,jamestown,sh,-39.15,-19.16,62.01,87.0,90.0,14.99,1602520594
590,vestmannaeyjar,is,58.01,-18.13,46.4,81.0,0.0,14.99,1602520904
591,talnakh,ru,69.26,94.8,26.6,100.0,40.0,22.37,1602520644
592,tibati,cm,5.98,12.37,72.05,81.0,14.0,0.87,1602520905
593,hermanus,za,-60.9,10.09,60.01,84.0,91.0,5.01,1602520865
594,hilo,us,31.92,-144.11,73.4,69.0,90.0,5.82,1602520879
595,qaanaaq,gl,89.27,-90.78,34.41,88.0,100.0,4.05,1602520905
596,hithadhoo,mv,-21.34,83.82,82.31,72.0,100.0,11.5,1602520612
597,caravelas,br,-18.55,-32.7,74.95,78.0,100.0,8.46,1602520905
598,carnarvon,au,-22.93,96.15,68.0,94.0,90.0,16.11,1602520869
599,vanavara,ru,59.99,103.33,20.93,93.0,76.0,5.37,1602520905
